TRIP_SET,TRIP,SET_NO,TRIP_ID,BOARD_DATE,LATITUDE,LONGITUDE,year,month,Code6600.wgt,Code6600.no,STATION,BOTTOM_TEMPERATURE,DEPTH
S01102009.9,S01102009,9,100028837,2009-09-30 23:00,44.5185,-62.69633,2009,9,0,0,240,7.979850746,124
S01102013.1,S01102013,1,100041757,2013-09-30 23:00,45.50517,-59.9465,2013,9,26.60662792,266.0662792,80,3.021682443,143
S01102013.2,S01102013,2,100041757,2013-09-30 23:00,45.47917,-60.10183,2013,9,58.23201899,582.3201899,605,3.204815323,174
S01102013.3,S01102013,3,100041757,2013-09-30 23:00,45.3715,-60.2235,2013,9,0,0,85,2.849093431,188
S01102013.4,S01102013,4,100041757,2013-09-30 23:00,45.30817,-60.23717,2013,9,0,0,84,2.67078629,156
S01102013.5,S01102013,5,100041757,2013-09-30 23:00,45.30967,-60.36217,2013,9,0,0,113,2.834454839,168
S01102014.1,S01102014,1,100044517,2014-09-30 23:00,46.58667,-60.00583,2014,9,0,0,10,2.8242552,102
S01102014.2,S01102014,2,100044517,2014-09-30 23:00,46.60767,-60.08217,2014,9,0,0,7,3.810119828,117
S01102014.3,S01102014,3,100044517,2014-09-30 23:00,46.654,-60.03067,2014,9,0,0,183,3.458218182,123
S01102014.4,S01102014,4,100044517,2014-09-30 23:00,46.69233,-59.9635,2014,9,0,0,19,2.291614286,102
S01102014.5,S01102014,5,100044517,2014-09-30 23:00,46.756,-59.9185,2014,9,0,0,181,3.409378992,128
S01102014.6,S01102014,6,100044517,2014-09-30 23:00,46.64933,-59.86917,2014,9,180.043124,300.0718733,182,4.46460087,70
S01102014.7,S01102014,7,100044517,2014-09-30 23:00,46.65617,-59.77433,2014,9,212.0434727,706.8115755,179,2.685916964,77
S01102014.8,S01102014,8,100044517,2014-09-30 23:00,46.72,-59.76567,2014,9,0,0,180,2.004086667,101
S01102016.1,S01102016,1,100047950,2016-09-30 23:00,45.69917,-59.99883,2016,9,0,0,540,3.195515315,165
S01102016.2,S01102016,2,100047950,2016-09-30 23:00,45.7305,-59.88817,2016,9,0,0,509,3.483176577,117
S01102016.3,S01102016,3,100047950,2016-09-30 23:00,45.712,-59.75717,2016,9,0,0,52,3.928499213,152
S01102016.4,S01102016,4,100047950,2016-09-30 23:00,45.6365,-59.726,2016,9,0,0,79,4.058894574,146
S01102016.5,S01102016,5,100047950,2016-09-30 23:00,45.528,-59.60133,2016,9,0,0,78,4.034944037,161
S01102016.6,S01102016,6,100047950,2016-09-30 23:00,45.4445,-59.538,2016,9,0,0,77,3.912144715,126
